C#,CNAME,PERIOD,CREDIT,TEACHER
RE-44,健康与疾病,32,2.0,"卢新兰,邓景元,黄省利,路万虹,周灿,高杨,施秉银"
LC-12,医用电子学,32,2.0,张方
RM-18,法医法学,48,2.5,"魏曙光,朱杰,朱永生,张洪波"
RM-26,法医案例综合分析,24,1.5,"樊栓良,马丽霞,顾姗智,韩卫,高雅,张洪波,张宝,王振原"
RM-27,法医病理学,160,7.5,"王振原,刘新社,李涛,张玉向,阎春霞,樊栓良"
RM-30,法医物证学,120,5.5,"赖江华,张宝,孙钦儒,张洪波,朱永生"
RM-35,法医毒理学,56,3.0,"马丽霞,井航,党永辉"
RM-44,法医临床学与人类学,88,4.5,"顾姗智,朱杰,陈腾,贾晓俤,高雅,官方霖"
RM-16,法医心理学,44,2.5,"党永辉,孙钦儒,贾晓俤,韩卫,官方霖"
ST-22,医学史,24,1.5,"宋彬,王明旭"
FT-46,医学信息检索与利用,16,1.0,翟中会
SJ-25,临床护理实习,0,19.0,王小琴
SJ-27,法医专业实习,0,10.0,朱杰
SJ-32,临床技能训练,0,1.0,"柏宏亮,卢群"
SJ-35,临床内外科实习,0,9.0,"何爱丽,种铁,周戬平"
SJ-41,临床教学实习,0,16.0,马兴
SJ-85,专业实习,160,4.0,吕海侠
SJ-91,临床药学专题实习,400,10.0,"张抗怀,封卫毅"
SJ-15,口腔基础技能训练,80,2.0,"裴丹丹,王方,侯琳娜,张雨萌"
SJ-18,社区护理实习,80,1.0,郭晓元
SJ-42,外科生产实习Ⅰ,720,18.0,马兴
SJ-45,口腔外科生产实习,640,16.0,"裴丹丹,王方,侯琳娜,张雨萌"
SJ-51,传染科生产实习,120,3.0,王渊
SJ-60,内科生产实习Ⅲ,560,14.0,王渊
SJ-69,妇产科生产实习Ⅰ,240,6.0,李雪兰
SJ-72,儿科生产实习,120,3.0,王渊
TL-23,口腔材料学,32,1.5,"雷波,邓晓红,肖敏,孙雪飞,党薇"
RS-33,护理人文素养,48,2.5,"周凯娜,方华,王小琴,杨磊"
RS-39,健康评估,64,3.0,"施齐芳,吕爱莉,李宁,王婧"
RS-42,护理教育学,30,1.5,"李津,高睿"
RS-48,护理学导论,48,2.5,"李小妹,李津,张婧珺,杨磊,周凯娜"
RS-51,基础护理学-1,72,3.0,"王娣妙,高睿,郭晓元,张迎,米晓芬"
RS-26,护理研究,28,1.5,"蒋文慧,方华,杨磊,王小琴"
RS-31,老年护理学,24,1.5,"顾炜,张迎"
RS-32,护理管理学,28,1.5,"张银萍,顾炜"
RS-35,急危重症护理学,32,1.5,"张银萍,顾炜"
RS-38,外科护理学 Ⅱ,72,3.5,"高睿,李津,罗艳,吴娜"
RS-50,内科护理学 Ⅱ,72,3.5,"李宁,吕爱莉,施齐芳,王婧"
RS-56,精神健康与心理护理,48,2.5,"郭丽阳,马明芳,伏炜,李雅妹,周莉娜,姜文慧,贾敏,文炳龙"
RS-19,人工智能与护理,16,1.0,"杨磊,张婧珺,张迎"
MA-36,生药学,64,3.0,"牛晓峰,王戌梅,刘霞,高昕,展颖转,周涛"
MA-39,药物分析,64,3.0,"侯晓芳,解笑瑜,景王慧,郝旖"
MA-42,药物流行病学,24,1.5,"吴谦,王丽荣,沈明望,齐欣,张天啸"
MA-45,生物药剂学,40,2.0,"李维凤,张彦民,韩省力,张沛沛,董凯"
MA-38,波谱解析,40,2.5,"朱宇红,张新新,张海龙"
MA-44,有机化合物波谱解析,40,2.5,"张卉,詹冠群,郭增军"
MA-29,药物分析学,80,4.0,"曾爱国,南冠君,罗智敏,景王慧"
MA-47,化学制药工艺学,64,3.0,"魏晓峰,潘晓艳,毛帅"
MA-77,天然药物化学,48,3.0,"郭增军,张卉,朱宇红,詹冠群,张海龙,张新新"
MA-80,药剂学,100,4.5,"邢建峰,李维凤,王珂,张继业,董凯"
MA-83,临床药物治疗学各论 Ⅱ,80,4.0,"杨乾婷,张丽娜,李亚,杨鑫,谢姣,赵文娜,余静洁,鲍和,逯星竹"
MA-86,临床药物治疗学各论 Ⅰ,80,4.0,"王海涛,鲍和,季美汐,王娜,李莎,张莉,康力敏,谢姣,李友佳,王岩,马新文,杨乾婷"
MA-89,工业药物分析,64,3.0,"曾爱国,罗智敏,景王慧,韩省力,张彦民,张涛"
MA-07,药物合成反应,64,4.0,"黄渊,辛敏行,朱云博,张杰"
MA-13,药用植物学实验,32,1.0,"牛晓峰,高昕,刘霞,王戌梅"
MA-37,药用植物学,24,1.5,"牛晓峰,高昕,刘霞,王戌梅"
MA-76,药物合成反应实验,46,1.5,"魏晓峰,黄渊"
MA-16,生药显微鉴定技术,28,1.0,"王戌梅,牛晓峰,刘霞"
MA-19,临床药物治疗学,32,2.0,"王陶陶,马文兵,游翠玉,景临林"
MA-25,药物设计学,24,1.5,"李义平,毛帅"
MA-22,药学研究进展,32,2.0,"方宇,罗文娟,张继业,张新新,解笑瑜,侯晓芳,包涛,张杰,周涛,景王慧"
MA-31,药物分离与检测科学,24,1.5,"侯晓芳,郝旖,景王慧,魏芬"
MA-40,药品生产质量管理,18,1.0,"姜明欢,方宇,赵明月"
YL-38,护理心理学基础,56,3.0,"张银萍,顾炜"
BH-36,临床营养学,24,1.5,"于燕,程悦"
BH-19,卫生化学,56,2.5,"韩蓓,孔利云,祁菲菲,程悦"
BH-22,卫生毒理学,64,3.0,"石兴民,安菲菲,李静"
BH-25,卫生微生物学,40,2.0,"薛晚利,孔利云"
BH-28,数据管理与分析,32,1.5,"吴谦,沈明望,张天啸,肖生彬"
AT-23,生物统计学,32,1.5,"赵亚玲,李强"
AT-16,生物统计学,96,4.5,"李强,李超,杨姣梅,陈方尧"
OM-06,口腔医学导论,16,1.0,"董茜茜,董炜疆,虎小毅,侯玉霞,牛林,陈悦,高江红,刘中博"
OM-47,口腔生物学,40,2.0,"许丹,李昂,裴丹丹,高江红,孟昊天,刘瑾,刘中博"
OM-80,牙周病学Ⅰ,24,1.5,"刘瑾,周欢,赵晓丹,张佳喻,苗棣"
OM-83,全口义齿修复学,80,3.0,"牛林,李蕴聪,赵巍,汪鹏,牛昱"
OM-86,牙体手术学,48,2.0,"董茜茜,刘青,刘文静,傅姗琦,王小勤,方高峰,薛云鹏"
OM-89,牙合学,24,1.0,"王爽,亓坤,王方"
OM-92,口腔放射诊断学,40,2.0,"虎小毅,苗棣,王涛,方高峰,李立峰,廖立凡,杨柳小溪,吕成鹏,郭治辰"
OM-95,社区牙科学,48,2.0,"田剑刚,高江红,张斌,陈诚,张月"
OM-01,牙髓病学Ⅱ,80,3.5,"董茜茜,薛云鹏,方高峰,刘文静,王小勤,牛玉梅,关晓月,傅姗琦,冯睿"
OM-10,口腔颌面外科学Ⅲ,60,2.5,"马思维,李旭奎,毕思思,郭治辰"
OM-16,口腔病理学,56,2.5,"辛颖,齐红,张佳"
OM-22,口腔正畸学,104,4.5,"王菲,邹蕊,侯玉霞,王爽,郭昱成,程姝丽,赵华翔,乔虎,邹薇,杨宇轩,王丽颖,普盼君,吉玲玲,鲍庆红"
OM-25,口腔种植学,20,1.0,"周秦,贺龙龙,廖立凡,赵宁波"
OM-31,牙体形态学,78,3.0,孙慧玲
OM-37,儿童牙病学Ⅱ,44,2.0,"肖刚,董宁,刘飞"
OM-43,口腔颌面外科学Ⅰ,90,4.5,"李旭奎,那思家,杨柳小溪,许方方"
OM-49,固定义齿修复学Ⅰ,80,3.0,"裴丹丹,甘婧,韩影,党薇,贺敏"
OM-73,口腔解剖生理学,40,1.5,"董炜疆,孙慧玲,王文斯,郭瑜鑫"
OM-76,口腔修复学,148,6.0,"牛林,裴丹丹,胡波,赵巍,甘婧,何治一,董少杰,张鹏,梁蓓蕾,王珍珍,王文斯,逯宜,李蕴聪"
OM-79,黏膜病学,20,1.0,"张佳,李琼华,董凯"
OM-88,口腔医学教育创新,16,1.0,"裴丹丹,王方,侯琳娜,张雨萌,亓坤,张智勇"
OM-91,合学,40,2.0,"王爽,亓坤,孙慧玲,王方"
OM-94,口腔正畸学,56,2.5,"邹蕊,侯玉霞,郭昱成,王菲,王爽,乔虎,管丽敏,王丽颖,赵华翔,程姝丽,普盼君,邹薇,杨宇轩"
OM-03,口腔组织病理学I,40,1.5,"李淑薇,齐红,辛颖,张佳"
OM-09,牙周病学,56,2.5,"李昂,苗棣,朱春晖,陈悦,司薇杭,张佳喻,申丁,赵晓丹,张斌"
SJ-08,热质储能系统设计-2,104,3.5,席奂
EM-27,化学专业导论课,16,1.0,"肖春辉,魏巍,张彦峰,丁书江,孙源慧,杨鸿辉,苏亚琼,成一龙"
EM-30,物理及化学基础实验,64,2.0,"白艳红,向丹,朱敏"
EM-33,基础化学Ⅰ,32,2.0,李健军
EM-48,无机化学Ⅰ-2,32,2.0,"张雯,李瑜"
EM-34,大学化学,48,3.0,"张雯,张莹"
EM-37,大学化学实验,32,1.0,郑阿群
EM-43,医用有机化学,64,4.0,许昭
EM-49,医用有机化学实验,48,1.5,李宝平
EM-55,普通化学原理-2,64,3.0,胡敏
EM-64,物理化学Ⅲ,112,5.5,"李骁勇,吴勇"
EM-67,物理化学Ⅱ,64,4.0,岳岭
EM-73,有机化学Ⅲ,48,3.0,郭丽娜
EM-79,无机与分析化学实验,32,1.0,向丹
EM-82,无机与分析化学,48,3.0,李银环
EM-12,储能化学基础实验-2,16,0.5,王耿
EM-15,储能化学基础-2,48,3.0,"高国新,周桂江,肖春辉"
EM-32,分析化学实验Ⅰ,32,1.0,高瑞霞
EM-41,无机化学实验Ⅰ-2,64,2.0,张雯
EM-44,现代仪器分析,48,3.0,梁军艳
EM-47,有机化学I-2,64,4.0,段新华
EM-56,物理化学,56,3.5,卜腊菊
EM-59,分析化学实验Ⅱ,32,1.0,李银环
EM-18,现代仪器分析实验,32,1.0,"郑阿群,张军杰"
EM-45,Organic Chemistry,64,4.0,"白艳红,焦佼,徐四龙,李洋"
EM-81,物理化学实验-1,32,1.0,王耿
EM-84,有机化学实验-1,32,1.0,王婉秦
EM-90,物理化学Ⅰ-1,64,4.0,"赵翔,魏巍,李骁勇,王栋东"
EM-96,有机化学实验-2,80,2.5,高品
EM-04,高等分析化学,32,2.0,高瑞霞
EM-07,化学绘图基础,32,2.0,周桂江
EM-10,有机合成化学,32,2.0,郭丽娜
EM-25,电化学基础,32,2.0,肖春辉
EM-40,有机光电原理及应用,32,2.0,"周桂江,杨晓龙,王栋东,孙源慧"
EM-46,能源化学创新实验,48,1.5,高国新
EM-58,合成化学创新实验,48,1.5,高国新
EM-62,化学生物学基础,32,2.0,孙杨
EM-77,高分子化学,32,2.0,"成一龙,张彦峰"
EM-80,无机制备化学,32,2.0,"梁军艳,熊礼龙"
EM-83,电化学基础,48,3.0,肖春辉
EM-89,高分子物理,32,2.0,"井新利,王淑娟"
EM-09,有机结构分析,32,2.0,胡明友
EM-92,绿色化学,32,2.0,王优良
RE-08,化学与人类文明,32,2.0,"张雯,李静"
SJ-46,科研训练-3,32,1.0,吕东梅
CH-42,建筑物理,64,4.0,"GiulianoDall'O',王赞社"
CH-78,建筑设计-2,96,4.0,"竺剡瑶,GerardoSemprebon,FabriziaBerlingieri"
CH-20,场地设计原理,24,1.5,王非
DE-24,产品设计创新材料,32,2.0,"ValentinaRognoli,杨眉"
DE-30,高级三维建模,64,3.0,"PietroPiazzolla,乔木"
DE-33,产品设计基础I,48,2.0,"PatriziaBolzan,杨延璞"
DE-45,设计符号学,32,2.0,"李宏伟,董琪"
DE-48,虚拟现实技术,40,2.0,"郑帅,王飞"
DE-51,人机交互技术与设计应用,40,2.0,"李晓玲,孙佳佳,王晶"
DE-60,设计思维与实践,48,2.0,"李宏伟,李萌,张德文"
DE-02,设计与建筑美学,32,2.0,"李晓玲,齐应涛"
DE-08,智慧产品设计,32,2.0,"VenereFerraro,雷思梦"
DE-14,数据科学方法和工具,32,2.0,"FrancescoPierri,王硕"
DE-17,工程与功能材料,32,2.0,"杨森,赵铭姝,田方华,周超"
DE-20,机器学习导论,40,2.0,庞善民
DE-71,设计实践-2,64,2.0,ValentinaRognoli
DE-86,设计实践-5,64,2.0,"PatriziaBolzan,杨增耀"
RE-47,经济学导论,32,2.0,秦波涛
RE-50,经济学的思维方式,32,2.0,俞炜华
RE-53,华尔街如何管理金融风险：交大财富课,32,2.0,张国平
ND-41,产业经济学Industrial Economics,48,3.0,郭誉森
ND-50,时间序列分析Time Series Analysis,48,3.0,Jae-Yoon Kim
NA-54,金融学原理,48,3.0,赵媛
NA-29,货币银行学Money and Banking,32,2.0,侯晓辉
NA-22,金融风险管理Financial Risk Management,32,2.0,张国平
ED-47,经济学与社会,16,1.0,俞炜华
LU-36,Essentials Of Finance,150,5.0,李晶
LU-39,Introduction To Macroeconomics,150,5.0,张一
LU-32,Maths for Economics and Business,150,5.0,"胡琳,Jae-Yoon Kim"
SM-35,测控技术导论,16,1.0,"杨青,汤晓君"
TO-44,自动化专业概论,16,1.0,蔡远利
TO-28,储能系统检测与估计,32,2.0,张乐
TO-83,运筹学I,48,3.0,周玉洲
TO-86,运筹学II,32,2.0,鄢超波
TO-89,自动控制原理 I 下,32,2.0,"杨清宇,张萌"
TO-68,运动控制系统（钱）,48,2.5,刘小勇
TO-25,系统建模与动力学分析,48,3.0,闫涛
TO-37,计算机网络原理与应用,48,2.5,杨静
TO-46,运动控制系统,40,2.5,杨旸
TO-22,信息物理融合能源系统,32,2.0,"管晓宏,徐占伯,吴江,刘坤,刘烃"
TO-31,系统仿真与元宇宙,32,2.0,卫军胡
TO-40,数字设计与计算机原理专题实验,32,1.0,"刘瑞玲,刘源"
TO-09,过程控制与系统,32,2.0,郑辑光
TO-12,计算机控制技术,32,2.0,"葛思擘,胡怀中,刘小勇"
TO-24,工业系统综合自动化基础,32,2.0,高峰
TO-87,自动控制原理专题实验2,16,0.5,景洲
TO-96,“运动控制系统”专题实验,32,1.0,刘源
TO-02,“现代检测技术”专题实验,32,1.0,刘瑞玲
TO-05,“计算机控制技术”专题实验,32,1.0,景洲
TO-08,电子线路设计设计训练专题实验2,24,0.75,刘美兰
TO-17,过程控制与系统专题实验,32,1.0,"刘瑞玲,王莹"
TO-59,智能控制,32,2.0,胡怀中
TO-71,移动机器人,32,2.0,吕娜
TO-74,数字图像与视频处理,40,2.5,"兰旭光,张雪涛"
TO-77,无线传感器网络,32,2.0,姚向华
TO-80,网络与信息安全,40,2.0,沈超
TO-95,智能机器人基础,32,2.0,曹建福
TO-13,自动控制原理II,48,3.0,郑辑光
DE-03,计算机组成与结构专题实验,32,1.0,"李晨,张玉龙,王飞,田丽华"
MP-33,网络空间安全导论,32,2.0,"苏洲,刘怡良,王云涛,李鹏"
MP-36,计算概论,32,2.0,"师斌,龚铁梁"
MP-31,大学计算机I（米理）,56,3.0,"薄钧戈,乔亚男,齐琪"
MP-34,大学计算机II（米理）,32,2.0,薄钧戈
MP-37,大学计算机 - 数据分析,52,3.0,张伟
MP-40,大学计算机 - 人工智能,52,3.0,崔舒宁
MP-43,大学计算机 - 信息技术,52,3.0,谢涛
MP-46,大学计算机 - 算法编程,52,3.0,陈龙
MP-49,算法设计与问题求解,36,2.0,乔亚男
MP-52,面向对象与桌面应用程序设计,36,2.0,房琛琛
MP-55,数据库技术及应用,36,2.0,"刘虎军,代锦飞"
MP-61,Web编程技术,36,2.0,"谢涛,李宏伟"
MP-64,物联网技术及应用,36,2.0,"齐琪,安健"
MP-67,大数据分析与可视化,36,2.0,夏秦
MP-39,离散数学A,64,4.0,"曹相湧,李文,彭祯"
MP-48,大学计算机基础（民族预科）,56,3.0,顾刚
MP-96,数字逻辑电路,48,3.0,顿玉洁
MP-87,程序设计基础,56,3.0,李锋
MP-24,计算机科学基础和高级程序设计-1,32,2.0,钱屹
MP-41,数据结构与算法A（拔尖班）,80,4.0,顾刚
MP-02,无线传感器网络,32,2.0,"范建存,毕海霞"
MP-08,程序设计思想方法与实践,64,3.0,杨义军
MP-14,人工智能导论,32,2.0,张玲玲
MP-26,网络安全实战,48,2.5,陶敬
MP-35,现代密码学,32,2.0,赵俊舟
MP-47,面向对象程序设计,32,2.0,薄钧戈
MP-56,数据结构与算法,48,3.0,黄鑫
MP-59,计算机图形学,32,2.0,赵玺
MP-62,计算机系统导论,64,4.0,"单丹枫,李昊"
MP-28,操作系统原理I,48,3.0,"赵鲲,齐赛宇,丁菡"
MP-58,认知计算与机器学习,40,2.0,鲍军鹏
MP-73,数据库系统,64,3.5,任雪斌
MP-76,计算机体系结构,56,3.0,陈衡
MP-94,数据库系统,48,2.5,"何亮,孙鹤立"
MP-00,算法分析与设计,48,2.5,赖欣
MP-03,计算机原理与嵌入式系统,48,3.0,杨晨
MP-15,物联网原理,56,3.5,"桂小林,安健,丁菡"
MP-18,物联网信息安全,40,2.0,"桂小林,戴慧珺"
MP-01,密码分析学,32,2.0,李吉亮
MP-07,人工智能安全与对抗,32,2.0,"沈超,蔺琛皓"
MP-13,木马核心技术分析,32,2.0,孙钦东
MP-25,在线社交网络智能分析与对抗,32,2.0,刘晓明
MP-45,汇编语言,48,2.5,陈衡
MP-66,游戏设计与开发（AR/VR）,32,2.0,唐亚哲
MP-75,软件工程,32,2.0,王鸽
MP-90,计算机视觉与模式识别,48,2.5,"苏远歧,王乐"
RE-01,表达与交流,48,3.0,"陈希,闫理贺,胡建晨,管晓宏"
RE-07,基于“互联网+”背景的创业基础,48,2.0,黄健
LC-33,微电子科学与工程导论,16,1.0,"程军,耿莉,张鸿,张国和"
LC-19,半导体物理与器件专题实验2,24,0.5,雷冰洁
LC-96,电子技术实验-2,16,0.5,郑卫斌
LC-21,半导体物理与器件,64,4.0,赵小龙
LC-77,数字逻辑电路,56,3.5,王今雨
LC-05,电化学基础,56,3.0,"易文辉,王景平,徐友龙,代锦飞"
LC-32,半导体器件,64,3.5,彭文博
LC-89,半导体物理,56,3.5,"徐友龙,赵金燕,牛刚,杨亚威"
LC-04,固体电子学实验1,32,1.0,"王景平,姚向华,马明"
LC-10,物理电子学实验1,32,1.0,陈兵
LC-13,微电子学实验,32,1.0,"王景平,姚向华,刘增辉"
LC-16,光电子学实验1,32,1.0,田亚玲
LC-07,微电子制造技术,32,2.0,刘明
LC-22,模拟集成电路专题实验,48,1.5,齐欢欢
LC-40,电介质物理,64,3.5,"徐卓,魏晓勇,夏颂,李飞"
LC-52,模拟电子系统专题实验,32,1.0,齐欢欢
LC-58,数字系统设计基础,32,2.0,梁峰
LC-61,数字系统设计专题实验,32,1.0,雷冰洁
LC-67,模拟集成电路设计II,40,2.5,许江涛
LC-18,现代微分析导论,32,2.0,"王领航,汪敏强"
LC-42,信息显示技术（双语）,40,2.5,"胡文波,李洁"
LC-72,光电子材料与器件（双语）,32,2.0,"云峰,丁文,田振寰"
LC-75,现代光学,40,2.5,"陈烽,杜广庆"
LC-78,激光原理与技术,40,2.5,樊叔维
LC-48,微机电系统,32,2.0,韩传余
LC-24,等离子体电子学导论,32,2.0,"李永东,王耀功"
EC-15,现代电子技术基础,56,3.0,"徐然,王若铮"
ED-35,艺术与科学的交汇,16,1.0,"管晓宏,杜友田"
ED-38,互联网技术与应用,32,2.0,杨琦
ED-56,经典阅读：理想国,16,1.0,李璟睿
ED-71,电与生命,32,2.0,"丁文,王洪广,刘纯亮"
ED-96,卫星导航系统漫谈,32,2.0,冯彦翔
FT-84,信号与系统Ⅰ,64,4.0,张渭乐
FT-09,信号与系统III,48,3.0,郑通兴
FT-02,通信原理与应用,96,5.5,"范建存,张莹,张翠翠"
FT-05,信息物理融合能源系统,32,2.0,"管晓宏,刘烃,刘坤,胡建晨"
FT-08,平面阵列 X 线源成像方法设计,48,2.0,牟轩沁
FT-86,电磁场理论I,56,3.5,张贻齐
FT-11,信号与系统V,52,3.0,"黄健,廖学文,李昂"
FT-92,通信原理II,48,3.0,李锋
FT-01,电磁场理论II,48,3.0,"曹猛,林舒"
FT-07,数字信号处理,44,2.5,雷磊
FT-22,信号与系统实验,16,0.5,"张建国,王霞,黄健,张渭乐,洪玺"
FT-34,无线通信系统虚拟仿真实验,16,0.5,"张国梅,张世娇"
FT-37,通信原理实验,16,0.5,张翠翠
FT-49,电子技术实验-2,16,0.5,张翠翠
FT-00,信息论基础The Elements of Information Theory,40,2.5,王慧明
FT-03,移动通信,40,2.5,罗新民
FT-78,短距离无线通信专题实验,32,1.0,陈伟
FT-87,工程与社会,8,0.5,宋云鹏
FT-93,数字通信与无线系统,40,2.5,"张国梅,杜清河,高贞贞"
FT-14,数据通信与计算机网络,40,2.5,洪伟
FT-17,通信网与程控交换技术,40,2.5,张亦希
FT-20,微机原理及应用,48,2.5,"张国梅,张育"
FT-23,天线原理,32,2.0,"陈晓明,陈娟"
FT-26,纠错编码理论,32,2.0,李锋
FT-29,数字图象处理,32,2.0,梁毅军
FT-32,信号与系统IV,40,2.5,顿玉洁
FT-35,数字信号处理,40,2.5,张懿洁
DE-05,太阳能电池设计制作,32,1.0,易文辉
DE-11,压电器件设计制作,32,1.0,"夏颂,高翔宇"
SJ-90,专业实习,0,3.0,王志
SJ-76,初级项目2：基于FPGA开发板的数字系统设计,52,2.0,程军
SJ-88,储能电池设计制作及集成化-2,104,3.5,"徐友龙,姚向华"
SJ-36,科研训练,32,1.0,唐亚哲
TH-22,概率统计与随机过程,64,4.0,"王平辉,阮亮中"
TH-25,离散数学基础,40,2.5,柯炜
TH-30,信息科学的矩阵分析基础,32,2.0,贺丽君
YS-89,热力学与统计物理,32,2.0,阙文修
TR-80,论文写作与发表,16,1.0,罗敏楠
TR-86,计算机科研习课,128,4.0,单丹枫
TR-00,科研训练,32,1.0,李秦龙
FT-83,面向对象程序设计方法,32,2.0,原盛
FT-10,编译原理,40,2.5,"吴晓军,徐亦飞"
FT-25,数据库系统（英）,40,2.5,白秀秀
FT-28,软件工程经济学,32,2.0,王晨旭
FT-04,图像处理与机器视觉,40,2.5,"祝继华,田智强,李钟毓"
FT-06,机器学习导论,32,2.0,庞善民
FT-12,编译系统设计综合训练,16,0.5,"吴晓军,徐亦飞"
FT-18,大数据技术,32,2.0,赵加坤
FT-21,计算机网络专题实验,32,1.0,张玉龙
FT-36,自然语言处理技术,32,2.0,姜沛林
FT-51,面向对象程序设计综合训练,16,0.5,"原盛,徐亦飞"
FT-69,图像处理与机器视觉综合训练,16,0.5,田智强
FT-72,Python程序设计综合训练,16,0.5,"张玉龙,郭宇"
TO-16,计算机科学与人工智能的数学基础I,64,4.0,汪建基
TO-81,现代物理与人工智能II,40,3.5,"杨勐,汪建基,蒋才桂"
TO-27,现代控制工程,56,3.0,刘妹琴
TO-11,机器人导航技术实验,32,1.0,"姚慧敏,袁泽剑"
TO-26,机器人学基础,56,3.0,徐林海
TO-29,多智能体与人机混合智能,40,2.0,张雪涛
TO-62,人工智能工具、平台与系统,40,2.0,张旭翀
TO-10,人工智能的科学理解,16,1.0,周三平
MP-22,计算机体系结构,48,3.0,夏天
MP-38,自然计算,32,2.0,郭宇
MP-92,3D计算机图形学,38,2.0,"刘跃虎,张驰"
TH-88,概率统计与随机过程（智）,64,4.0,"左炜亮,周三平"
RA-37,电工实习Ⅰ,32,1.0,"杨荣,赵军亚,毕文婷,孙有为,夏禹,李莉"
RA-34,综合工程训练1,40,1.0,"栗茂林,张铭,赵军亚,张育林,王娜,李党超,加有维,崔琦,黄宝娟,杨荣,邵敏,李铭,沈瑶,王明伟,张泽,毕文婷"
RA-40,综合工程训练2,40,1.0,"栗茂林,张铭,赵军亚,王娜,张育林,李党超,加有维,崔琦,黄宝娟,杨荣,邵敏,李铭,沈瑶,王明伟,张泽,毕文婷"
RA-43,综合工程训练Ⅳ,32,1.0,"栗茂林,加有维,崔琦,杨荣,毕文婷,张育林,王明伟,张泽,李铭"
RA-41,测控实习,32,1.0,"张育林,李铭"
RA-44,金工实习Ⅲ-2,64,1.0,"栗茂林,吴毅,崔琦,邵敏,沈瑶,张珂,祁小朋,孙毓忠"
RA-50,金工实习Ⅰ,64,2.0,"栗茂林,李党超,加有维,张铭,邓天鑫,周耀成,郁志浩,曲滨,赵宁,徐峰,宋爱梅"
ED-65,被误解的化学键：《化学键的本质》导读,16,1.0,吴超
LI-62,国防教育,32,2.0,"李科,初阔林,张昊"
LU-80,管理会计导论,150,5.0,曾卫红
